osm_id,name,dist_boundary_m,dist_centroid_m,centroid_outside_polygon,facility_count,underserved_1000,underserved_1500,underserved_2000
8767105,Cami Mahallesi,23.510804,560.310609,False,0,False,False,False
8767114,Yayla Mahallesi,0.0,237.748722,False,5,False,False,False
8767167,Postane Mahallesi,0.0,1981.374142,False,2,True,True,False
8767841,Evliya Çelebi Mahallesi,0.0,882.80928,False,2,False,False,False
8767842,İçmeler Mahallesi,0.0,282.7145,False,3,False,False,False
8767843,Aydıntepe Mahallesi,0.0,390.549756,False,2,False,False,False
8796660,Çağlayan Mahallesi,0.0,507.355193,False,1,False,False,False
8796814,Akşemseddin Mahallesi,142.69231,709.704977,False,0,False,False,False
8800853,Ramazanoğlu Mahallesi,311.19203,1108.029497,False,0,True,False,False
8824054,Yeşilce Mahallesi,289.755658,712.766669,False,0,False,False,False
8824111,Güneşli Mahallesi,0.0,137.872436,False,3,False,False,False
8824112,Bağlar Mahallesi,0.0,601.723761,False,1,False,False,False
8832576,Zübeyde Hanım Mahallesi,349.402233,1148.083111,False,0,True,False,False
8832577,Gazi Mahallesi,0.0,376.289319,False,1,False,False,False
8832578,Yunus Emre Mahallesi,0.0,273.681565,False,3,False,False,False
8839337,Firuzköy Mahallesi,32.991277,1334.55621,False,0,True,False,False
8852697,Kozyatağı Mahallesi,0.0,332.622723,False,7,False,False,False
8857261,Küçükbakkalköy Mahallesi,0.0,64.176738,False,32,False,False,False
8863399,Vatan Mahallesi,0.0,297.802925,False,1,False,False,False
8866766,Çınardere Mahallesi,0.0,545.846994,False,1,False,False,False
8894351,Göçbeyli Mahallesi,7444.369445,11639.019192,False,0,True,True,True
8894395,Bucaklı Mahallesi,242.827264,2706.340264,False,0,True,True,True
8894396,Geredeli Mahallesi,3407.362589,6738.186553,False,0,True,True,True
8894397,Göçe Mahallesi,1040.439689,2842.378359,False,0,True,True,True
8894398,Ağva Merkez Mahallesi,0.0,645.459449,False,1,False,False,False
8894445,Kurfallı Mahallesi,739.925882,2097.415003,False,0,True,True,True
8894446,İsaköy Mahallesi,2459.636337,3799.918764,False,0,True,True,True
8894447,Soğullu Mahallesi,4456.719079,8259.588676,False,0,True,True,True
8894466,Kalem Mahallesi,3500.674158,8475.453381,False,0,True,True,True
8894727,Çataklı Mahallesi,6648.008544,10663.904779,False,0,True,True,True
8894728,Göksu Mahallesi,6069.247787,8931.973135,False,0,True,True,True
8894729,Gökmaşlı Mahallesi,4712.397136,5818.827832,False,0,True,True,True
8897352,Şuayipli Mahallesi,2871.781482,4791.561662,False,0,True,True,True
8897385,Hacıllı Mahallesi,6381.661218,9059.971104,False,0,True,True,True
8900397,Bozgoca Mahallesi,5730.610223,6624.41342,False,0,True,True,True
8900398,Karacaköy Mahallesi,6817.298287,7842.084945,False,0,True,True,True
8900415,İmrenli Mahallesi,7912.964085,9743.260285,False,0,True,True,True
8902002,Mehmet Akif Ersoy Mahallesi,0.0,431.865658,False,1,False,False,False
8905922,Sortullu Mahallesi,4448.90704,6170.468389,False,0,True,True,True
8906003,Karabeyli Mahallesi,4873.640777,6906.076533,False,0,True,True,True
8906049,Akçakese Mahallesi,6210.873309,8749.357181,False,0,True,True,True
8906089,Kabakoz Mahallesi,3559.913857,6623.97858,False,0,True,True,True
8917831,Balibey Mahallesi,0.0,1709.020782,False,2,True,True,False
8918298,Hacı Kasım Mahallesi,302.577052,575.361726,False,0,False,False,False
8939333,Çavuş Mahallesi,0.0,1083.865187,False,1,True,False,False
8939334,İmrendere Mahallesi,1861.494273,3600.574141,False,0,True,True,True
8996428,Ağaçdere Mahallesi,3306.119216,4728.127658,False,0,True,True,True
8996776,Osmanköy Mahallesi,3302.393175,4727.852506,False,0,True,True,True
9027454,Yeniköy Mahallesi,1555.774325,4719.658979,False,0,True,True,True
9027455,Yaylalı Mahallesi,1346.05157,2897.518758,False,0,True,True,True
9027503,Çayırbaşı Mahallesi,2504.335347,4054.059058,False,0,True,True,True
9042591,Ahmet Yesevi Mahallesi,0.0,418.665861,False,2,False,False,False
9042592,Fatih Mahallesi,20.097815,367.400723,False,0,False,False,False
9064755,Kumbaba Mahallesi,0.0,849.725685,False,1,False,False,False
9064777,Ahmetli Mahallesi,370.009254,1670.162213,False,0,True,True,False
9064778,Meşrutiyet Mahallesi,89.431279,702.594536,False,0,False,False,False
9064892,Çengilli Mahallesi,4791.249473,7262.810052,False,0,True,True,True
9064925,Hasanlı Mahallesi,2563.219446,4400.971233,False,0,True,True,True
9064926,Yazımanayır Mahallesi,1010.009162,2233.599902,False,0,True,True,True
9064974,Teke Mahallesi,0.0,3282.575685,False,1,True,True,True
9064975,Yaka Mahallesi,4715.049463,8203.224457,False,0,True,True,True
9064976,Değirmen Çayırı Mahallesi,8297.076006,10144.447725,False,0,True,True,True
9065274,Darlık Mahallesi,5311.088628,7505.227946,False,0,True,True,True
9065275,Oruçoğlu Mahallesi,9139.637051,12544.306455,False,0,True,True,True
9065276,Ulupelit Mahallesi,7266.827057,9400.452972,False,0,True,True,True
9066780,Karamandere Mahallesi,1996.807962,5874.423753,False,0,True,True,True
9066781,Ovacık Mahallesi,3617.875756,5830.829858,False,0,True,True,True
9066783,Korucu Mahallesi,2436.811806,5100.420565,False,0,True,True,True
9066788,Satmazlı Mahallesi,2523.085296,4328.603695,False,0,True,True,True
9066804,Erenler Mahallesi,4666.616253,7211.603411,False,0,True,True,True
9078093,Esenyalı Mahallesi,424.014676,767.471622,False,0,False,False,False
9078094,Orhangazi Mahallesi,672.415566,1124.759273,False,0,True,False,False
9078111,Güzelyalı Mahallesi,944.865709,1841.126021,False,0,True,True,False
9218021,Kaynarca Mahallesi,0.0,802.975168,False,2,False,False,False
9218075,Doğu Mahallesi,0.0,463.66985,False,11,False,False,False
9218100,Batı Mahallesi,0.0,221.195516,False,5,False,False,False
9218225,Yeşilbağlar Mahallesi,0.0,228.964867,False,1,False,False,False
9218298,Sapan Bağları Mahallesi,0.0,374.823149,False,1,False,False,False
9218331,Yeni Mahallesi,0.0,404.029136,False,2,False,False,False
9218332,Bahçelievler Mahallesi,0.0,166.553389,False,4,False,False,False
9219444,Çamçeşme Mahallesi,0.0,731.086758,False,1,False,False,False
9219465,Kavakpınar Mahallesi,0.0,276.879155,False,2,False,False,False
9219466,Esenler Mahallesi,17.594859,343.909329,False,0,False,False,False
9219471,Fevzi Çakmak Mahallesi,0.0,389.056645,False,5,False,False,False
9220784,Dumlupınar Mahallesi,56.398643,620.736476,False,0,False,False,False
9268730,Sanayi Mahallesi,27.689084,1385.399316,False,0,True,False,False
9268783,Güllü Bağlar Mahallesi,0.0,475.829482,False,1,False,False,False
9268801,Şeyhli Mahallesi,22.170676,787.842779,False,0,False,False,False
9268907,Orta Mahallesi,0.0,123.066367,False,1,False,False,False
9268910,Velibaba Mahallesi,0.0,209.536599,False,1,False,False,False
9268920,Ertuğrul Gazi Mahallesi,724.701461,1642.538832,False,0,True,True,False
9268921,Yayalar Mahallesi,0.0,386.507505,False,1,False,False,False
9269124,Sülüntepe Mahallesi,0.0,303.614701,False,2,False,False,False
9285741,Orhantepe Mahallesi,0.0,615.692049,False,3,False,False,False
9285742,Kordonboyu Mahallesi,12.554385,460.478613,False,0,False,False,False
9285966,Atalar Mahallesi,0.0,187.536601,False,5,False,False,False
9285980,Cevizli Mahallesi,0.0,177.020609,False,5,False,False,False
9286009,Yakacık Çarşı Mahallesi,0.0,794.841717,False,2,False,False,False
9286043,Petrol İş Mahallesi,0.0,137.820088,False,4,False,False,False
9286068,Esentepe Mahallesi,0.0,485.739521,False,3,False,False,False
9286088,Yukarı Mahallesi,0.0,172.315643,False,2,False,False,False
9286104,Karlıktepe Mahallesi,0.0,132.862105,False,2,False,False,False
9286195,Çavuşoğlu Mahallesi,38.900726,766.212247,False,0,False,False,False
9286238,Yunus Mahallesi,0.0,266.603208,False,3,False,False,False
9286262,Topselvi Mahalesi,0.0,406.545758,False,1,False,False,False
9286269,Yalı Mahallesi,0.0,312.644891,False,1,False,False,False
9286337,Cumhuriyet Mahallesi,0.0,186.018759,False,1,False,False,False
9286355,Orta Mahallesi,0.0,365.70507,False,4,False,False,False
9286388,Soğanlık Yeni Mahallesi,0.0,798.571869,False,1,False,False,False
9286428,Gümüşpınar Mahallesi,0.0,404.896773,False,1,False,False,False
9286454,Hürriyet Mahallesi,0.0,289.585072,False,3,False,False,False
9286485,Uğur Mumcu Mahallesi,0.0,428.972363,False,1,False,False,False
9286522,Yakacık Yeni Mahallesi,0.0,1772.885657,False,2,True,True,False
9286607,Bostancı Mahallesi,0.0,177.718829,False,5,False,False,False
9286614,Suadiye Mahallesi,0.0,230.923462,False,3,False,False,False
9286639,Rasimpaşa Mahallesi,0.0,404.761629,False,2,False,False,False
9286657,Ferhatpaşa Mahallesi,0.0,529.878283,False,1,False,False,False
9286658,Fetih Mahallesi,253.175992,548.781796,False,0,False,False,False
9287004,Kayışdağı Mahallesi,0.0,703.749011,False,3,False,False,False
9288091,Yenişehir Mahallesi,226.489374,689.860559,False,0,False,False,False
9288097,İnönü Mahallesi,0.0,517.045904,False,1,False,False,False
9289098,Ambarlı Mahallesi,0.0,542.823153,False,2,False,False,False
9289128,Tahtakale Mahallesi,0.0,1539.452041,False,1,True,True,False
9289261,Gürpınar Mahallesi,111.930709,1137.294462,False,0,True,False,False
9289278,Taşdelen Mahallesi,247.217856,1355.476402,False,0,True,False,False
9293239,Yakuplu Mahallesi,0.0,1077.231284,False,1,True,False,False
9296001,Vişnezade Mahallesi,168.794984,679.61882,False,0,False,False,False
9308675,Şerifali Mahallesi,209.505447,883.417777,False,0,False,False,False
9308676,Yukarı Dudullu Mahallesi,0.0,559.577805,False,1,False,False,False
9309043,Haznedar Mahallesi,24.183469,395.787122,False,0,False,False,False
9309109,Çifte Havuzlar Mahallesi,0.0,413.422779,False,1,False,False,False
9314634,Ahmediye Mahallesi,5022.639561,6436.057851,False,0,True,True,True
9318611,Davutpaşa Mahallesi,490.697517,868.831046,False,0,False,False,False
9318612,Namık Kemal Mahallesi,183.101236,478.605472,False,0,False,False,False
9318613,Yavuz Selim Mahallesi,217.637304,762.081422,False,0,False,False,False
9319824,Harbiye Mahallesi,0.0,328.852359,False,2,False,False,False
9319855,İnönü Mahallesi,0.0,175.748828,False,2,False,False,False
9319943,Ergenekon Mahallesi,302.729205,573.753622,False,0,False,False,False
